Journal Name,Abbreviation,Subject Area,Scope,Keywords,Impact Factor,Submission Types,Open Access,URL,ISSN (Print),ISSN (Electronic),Description
Frontiers in Molecular Biosciences,Front. Mol. Biosci.,Life Sciences,Molecular bioscience and biochemistry,Molecular biology; Biochemistry; Protein science; Molecular genetics; Structural biology,4,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/molecular-biosciences,,2296-889X,Covers molecular biology and biochemical research
Frontiers in Molecular Medicine,Front. Mol. Med.,Medicine & Health,Molecular medicine and translational research,Molecular medicine; Drug targets; Therapeutic targets; Translational research; Molecular pathology,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/molecular-medicine,,2674-0095,Publishes molecular approaches to medicine and drug development
Frontiers in Molecular Neuroscience,Front. Mol. Neurosci.,Life Sciences,Molecular neuroscience and neurochemistry,Molecular neuroscience; Neurochemistry; Neurotransmitters; Molecular mechanisms; Brain chemistry,3.8,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/molecular-neuroscience,,1662-5099,Covers molecular and neurochemical aspects of neuroscience
Frontiers in Musculoskeletal Disorders,Front. Musculoskelet. Disord.,Medicine & Health,Orthopedics and musculoskeletal health,Orthopedics; Rheumatology; Joint disease; Bone health; Musculoskeletal conditions,,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/musculoskeletal-disorders,,2813-883X,Covers musculoskeletal disorders and orthopedic health
Frontiers in Nanotechnology,Front. Nanotechnol.,Engineering & Technology,Nanotechnology and nanoscience,Nanotechnology; Nanomaterials; Nanostructures; Nanotoxicology; Quantum effects,3.8,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/nanotechnology,,2673-3013,Publishes nanotechnology research including materials and applications
Frontiers in Natural Products,Front. Nat. Prod.,Engineering & Technology,Natural product chemistry and pharmacology,Natural products; Phytochemistry; Herbal medicine; Traditional medicine; Secondary metabolites,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/natural-products,,2813-2602,Covers natural product research and plant-based therapies
Frontiers in Nephrology,Front. Nephrol.,Medicine & Health,Nephrology and kidney disease,Nephrology; Kidney disease; Renal disease; Dialysis; Transplantation; Urology,,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/nephrology,,2813-0626,Publishes nephrology research and kidney disease management
Frontiers in Network Physiology,Front. Netw. Physiol.,Life Sciences,Systems physiology and network biology,Systems physiology; Physiological networks; Integration; Complex physiology; Systems biology,3,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/network-physiology,2674-0109,2674-0109,Explores integrative physiological systems and network approaches
Frontiers in Neural Circuits,Front. Neural Circuits,Life Sciences,Neural circuit analysis and brain connectivity,Neural circuits; Brain connectivity; Neuronal networks; Circuit function; Connectomics,3,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/neural-circuits,,2296-9145,Covers neural circuit organization and function
Frontiers in Neuroanatomy,Front. Neuroanat.,Life Sciences,Neuroanatomy and brain structure,Neuroanatomy; Brain structure; Morphology; Anatomical mapping; Neural systems,2.3,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/neuroanatomy,,1662-5129,Publishes research on brain anatomy and neural organization
Frontiers in Neuroergonomics,Front. Neuroergonomics,Life Sciences,Neuroergonomics and human factors,Neuroergonomics; Human factors; Brain-computer interaction; Cognitive workload; User experience,1.9,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/neuroergonomics,,2673-6195,Covers neuroergonomic research on human performance
Frontiers in Neuroimaging,Front. Neuroimaging,Life Sciences,Neuroimaging techniques and brain mapping,Neuroimaging; Brain imaging; fMRI; PET; Brain mapping; Neuroimaging methods,,Research Article; Review; Methodology,Yes,https://www.frontiersin.org/journals/neuroimaging,,2813-1193,Publishes neuroimaging research and methodology
Frontiers in Neuroinformatics,Front. Neuroinform.,Life Sciences,Computational neuroscience and neuroinformatics,Neuroinformatics; Computational neuroscience; Data management; Bioinformatics; Neural databases,2.5,Research Article; Review; Methodology,Yes,https://www.frontiersin.org/journals/neuroinformatics,,1662-5196,Covers neuroinformatics and computational approaches to neuroscience
Frontiers in Neurology,Front. Neurol.,Medicine & Health,Neurology and neurological disorders,Neurology; Neurological disorders; Clinical neurology; Stroke; Epilepsy; Neurological disease,2.8,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/neurology,,1664-2295,Covers clinical neurology and neurological disease research
Frontiers in Neurorobotics,Front. Neurorobot.,Life Sciences,Neurorobotics and brain-machine interfaces,Neurorobotics; Brain-machine interface; Robotics; Neural control; Brain-computer interface,2.8,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/neurorobotics,,1662-6761,Publishes research on brain-controlled robotics and neural interfaces
Frontiers in Neuroscience,Front. Neurosci.,Life Sciences,General neuroscience and brain research,Neuroscience; Brain research; Neural function; Behavior; Brain disorders,3.2,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/neuroscience,1662-4548,1662-453X,A leader in neuroscience research covering all aspects of brain science
Frontiers in Nuclear Engineering,Front. Nucl. Eng.,Engineering & Technology,Nuclear energy and engineering,Nuclear engineering; Nuclear power; Reactor design; Nuclear materials; Nuclear technology,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/nuclear-engineering,,2813-3412,Covers nuclear engineering and reactor technology
Frontiers in Nuclear Medicine,Front. Nucl. Med.,Medicine & Health,Nuclear medicine and molecular imaging,Nuclear medicine; Molecular imaging; PET; SPECT; Radiopharmaceuticals; Diagnostic imaging,1.4,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/nuclear-medicine,,2673-8880,Publishes nuclear medicine research and imaging applications
Frontiers in Nutrition,Front. Nutr.,Life Sciences,Nutrition science and dietary research,Nutrition; Dietetics; Food science; Nutritional biochemistry; Human nutrition,5.1,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/nutrition,,2296-861X,A leader in nutrition research including clinical and nutritional science
Frontiers in Ocean Sustainability,Front. Ocean Sustain.,Environment & Sustainability,Ocean science and sustainable ocean management,Oceanography; Marine conservation; Sustainable fisheries; Ocean resources; Blue economy,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/ocean-sustainability,,2813-8287,Addresses ocean science and sustainable marine resource management
Frontiers in Oncology,Front. Oncol.,Medicine & Health,Oncology and cancer research,Oncology; Cancer; Tumor biology; Cancer treatment; Chemotherapy; Immunotherapy,3.3,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/oncology,,2234-943X,A leader in cancer research covering biology and treatment
Frontiers in Ophthalmology,Front. Ophthalmol.,Medicine & Health,Ophthalmology and eye disease,Ophthalmology; Eye disease; Vision; Optometry; Cornea; Retina,0.9,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/ophthalmology,,2674-0826,Covers ophthalmology and eye disease research
Frontiers in Oral Health,Front. Oral Health,Medicine & Health,Dentistry and oral medicine,Dentistry; Oral health; Periodontics; Oral surgery; Dental research,3.1,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/oral-health,,2673-4842,Publishes oral health research and dental science
Frontiers in Organizational Psychology,Front. Organ. Psychol.,Life Sciences,Organizational behavior and psychology,Organizational psychology; Management; Workplace behavior; Leadership; Human resources,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/organizational-psychology,,2813-771X,Covers organizational behavior and workplace psychology
Frontiers in Pain Research,Front. Pain Res.,Medicine & Health,Pain science and pain management,Pain; Analgesia; Chronic pain; Neuropathic pain; Pain management; Neurobiology of pain,2.7,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/pain-research,,2673-561X,Covers pain science and clinical pain management
Frontiers in Parasitology,Front. Parasitol.,Life Sciences,Parasitology and parasite research,Parasitology; Parasites; Parasitic disease; Tropical medicine; Vector biology,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/parasitology,,2813-2424,Publishes parasitology research and tropical disease studies
Frontiers in Pediatrics,Front. Pediatr.,Medicine & Health,Pediatrics and child health,Pediatrics; Child health; Neonatology; Child development; Pediatric disease; Maternal-fetal,2,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/pediatrics,,2296-2360,Covers pediatric medicine and child health research
Frontiers in Pharmacology,Front. Pharmacol.,Life Sciences,Pharmacology and drug research,Pharmacology; Drug action; Therapeutics; Neuropharmacology; Clinical pharmacology,4.8,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/pharmacology,,1663-9812,A leader in pharmacology research covering drug action and development
Frontiers in Photobiology,Front. Photobiol.,Life Sciences,Photobiology and light-organism interactions,Photobiology; Light effects; Photosynthesis; Biophotonics; Chronobiology,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/photobiology,,2813-8228,Covers photobiology and effects of light on biological systems
Frontiers in Photonics,Front. Photonics,Engineering & Technology,Photonics and light engineering,Photonics; Photonic materials; Optical engineering; Laser technology; Light manipulation,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/photonics,,2673-6853,Publishes photonics research and optical engineering
Frontiers in Physics,Front. Phys.,Engineering & Technology,Physics and physical science,Physics; Quantum physics; Classical mechanics; Particle physics; Condensed matter,2.1,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/physics,,2296-424X,Covers broad areas of physics from fundamental to applied
Frontiers in Physiology,Front. Physiol.,Life Sciences,Physiology and cellular function,Physiology; Cell physiology; Organ physiology; Homeostasis; Regulatory physiology,3.4,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/physiology,,1664-042X,A leader in physiology research covering cellular and systems physiology
Frontiers in Plant Physiology,Front. Plant Physiol.,Life Sciences,Plant physiology and plant stress,Plant physiology; Stress physiology; Plant-environment; Photosynthesis; Plant development,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/plant-physiology,,2813-821X,Covers plant physiology and responses to environmental stress
Frontiers in Plant Science,Front. Plant Sci.,Life Sciences,Plant biology and agronomy,Plant science; Plant biology; Plant genetics; Crop improvement; Plant biotechnology,4.8,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/plant-science,,1664-462X,A leader in plant science covering genetics and agronomy
Frontiers in Political Science,Front. Polit. Sci.,Social Sciences & Humanities,Political science and international relations,Political science; Political theory; International relations; Policy; Governance,1.9,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/political-science,,2673-3145,Covers political science research and international relations
Frontiers in Protistology,Front. Protistol.,Life Sciences,Protist research and protozoology,Protistology; Protozoology; Protists; Parasitic protists; Protist ecology,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/protistology,,2813-849X,Publishes research on protists and protozoology
Frontiers in Psychiatry,Front. Psychiatry,Medicine & Health,Psychiatry and mental health,Psychiatry; Mental health; Psychosis; Depression; Anxiety; Psychiatric disorder,3.2,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/psychiatry,,1664-0640,Covers psychiatric research and mental health disorders
Frontiers in Psychology,Front. Psychol.,Life Sciences,Psychology and behavioral science,Psychology; Behavior; Cognitive science; Emotional processes; Social psychology,2.9,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/psychology,,1664-1078,A leader in psychology research covering all psychology subdisciplines
Frontiers in Public Health,Front. Public Health,Medicine & Health,Public health and epidemiology,Public health; Epidemiology; Health policy; Preventive medicine; Health promotion,3.4,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/public-health,,2296-2565,A leader in public health research including epidemiology
Frontiers in Quantum Science and Technology,Front. Quantum Sci. Technol.,Engineering & Technology,Quantum science and engineering,Quantum physics; Quantum computing; Quantum information; Quantum technology,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/quantum-science-and-technology,,2813-2181,Covers quantum science and emerging quantum technologies
Frontiers in Radiology,Front. Radiol.,Medicine & Health,Radiology and medical imaging,Radiology; Medical imaging; Diagnostic imaging; Radiography; Image interpretation,2.3,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/radiology,,2673-8740,Publishes radiology research and medical imaging applications
Frontiers in Rehabilitation Sciences,Front. Rehabil. Sci.,Medicine & Health,Rehabilitation and physical therapy,Rehabilitation; Physical therapy; Occupational therapy; Recovery; Functional restoration,1.9,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/rehabilitation-sciences,,2673-6861,Covers rehabilitation medicine and physical therapy research
Frontiers in Remote Sensing,Front. Remote Sens.,Engineering & Technology,Remote sensing and earth observation,Remote sensing; Satellite imagery; Earth observation; Geospatial analysis; Image processing,3.7,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/remote-sensing,,2673-6187,Publishes remote sensing and geospatial research
Frontiers in Reproductive Health,Front. Reprod. Health,Medicine & Health,Reproductive health and fertility,Reproductive health; Fertility; Obstetrics; Gynecology; Reproduction; Family planning,2.9,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/reproductive-health,,2673-3153,Covers reproductive health and fertility research
Frontiers in Research Metrics and Analytics,Front. Res. Metr. Anal.,Social Sciences & Humanities,Bibliometrics and research evaluation,Bibliometrics; Research assessment; Scientometrics; Citation analysis; Research metrics,1.6,Research Article; Review; Methodology,Yes,https://www.frontiersin.org/journals/research-metrics-and-analytics,,2504-0537,Publishes research on research evaluation and bibliometrics
Frontiers in RNA Research,Front. RNA Res.,Life Sciences,RNA biology and molecular research,RNA; Gene expression; RNA function; RNA pathways; RNA therapeutics,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/rna-research,,2813-7116,Covers RNA biology and RNA-based research
Frontiers in Robotics and AI,Front. Robot. AI,Engineering & Technology,Robotics and artificial intelligence,Robotics; Autonomous systems; AI; Machine learning; Intelligent systems; Automation,3,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/robotics-and-ai,,2296-9144,Covers robotics AI and autonomous systems
Frontiers in Science,Front. Sci.,Engineering & Technology,Emerging and interdisciplinary science,Interdisciplinary; Innovation; Emerging science; Breakthrough research; Cross-disciplinary,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/science,,,Publishes emerging and innovative interdisciplinary research
Frontiers in Sensors,Front. Sensors,Engineering & Technology,Sensor technology and detection systems,Sensors; Sensor technology; Detection; Measurement; Instrumentation; IoT,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/sensors,,,Covers sensor technology and detection systems
Frontiers in Signal Processing,Front. Signal Process.,Engineering & Technology,Signal processing and communications,Signal processing; Digital signal processing; Communication; Image processing; Filtering,2.6,Research Article; Review; Methodology,Yes,https://www.frontiersin.org/journals/signal-processing,,2297-4725,Publishes signal processing and communications research
Frontiers in Sleep,Front. Sleep,Medicine & Health,Sleep science and sleep medicine,Sleep; Sleep disorders; Circadian rhythm; Sleep physiology; Sleep deprivation; Insomnia,,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/sleep,,,Covers sleep science and clinical sleep medicine
Frontiers in Smart Grids,Front. Smart Grids,Engineering & Technology,Smart grid and power systems,Smart grid; Power systems; Energy management; Electrical grid; Grid technology,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/smart-grids,,,Publishes smart grid research and energy systems
Frontiers in Social Psychology,Front. Social Psychol.,Life Sciences,Social psychological research,Social psychology; Group behavior; Interpersonal behavior; Social processes; Attitudes,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/social-psychology,,,Covers social psychological research
Frontiers in Sociology,Front. Sociol.,Social Sciences & Humanities,Sociology and social science,Sociology; Social structure; Social change; Social behavior; Society; Culture,2.2,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/sociology,,3223-5744,Publishes sociological research across subdisciplines
Frontiers in Soft Matter,Front. Soft Matter,Engineering & Technology,Soft matter physics and materials,Soft matter; Polymer science; Colloids; Complex fluids; Soft materials,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/soft-matter,,,Covers soft matter research including polymers and colloids
Frontiers in Soil Science,Front. Soil Sci.,Life Sciences,Soil science and soil management,Soil science; Soil physics; Soil chemistry; Pedology; Soil quality; Soil ecology,3.7,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/soil-science,,2813-0936,Covers soil science research including soil properties and management
Frontiers in Space Technologies,Front. Space Technol.,Engineering & Technology,Space technology and systems,Space technology; Spacecraft; Launch systems; Orbital mechanics; Space infrastructure,1.3,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/space-technologies,,,Publishes space technology and systems research
Frontiers in Sports and Active Living,Front. Sports Active Living,Medicine & Health,Sports medicine and exercise science,Sports medicine; Exercise physiology; Athletic performance; Sports science; Physical activity,2.6,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/sports-and-active-living,,,Covers sports medicine and exercise science research
Frontiers in Stroke,Front. Stroke,Medicine & Health,Stroke research and neurological emergencies,Stroke; Cerebrovascular disease; Brain ischemia; Neurological emergency; Rehabilitation,,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/stroke,,,Publishes stroke research and cerebrovascular medicine
Frontiers in Surgery,Front. Surg.,Medicine & Health,Surgery and surgical research,Surgery; Surgical techniques; Operative procedures; Surgical outcomes; Trauma surgery,1.8,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/surgery,,2296-875X,Covers surgical research and clinical surgical advances
Frontiers in Sustainability,Front. Sustain.,Environment & Sustainability,Sustainability and environmental management,Sustainability; Environmental management; Sustainable development; Green practices,2.9,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/sustainability,,,Publishes sustainability research and environmental solutions
Frontiers in Sustainable Cities,Front. Sustain. Cities,Environment & Sustainability,Urban sustainability and smart cities,Urban planning; Smart cities; Sustainable urban; Urban resilience; City development,2.1,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/sustainable-cities,,,Covers sustainable urban development and smart cities
Frontiers in Sustainable Energy Policy,Front. Sustain. Energy Policy,Environment & Sustainability,Energy policy and renewable energy,Energy policy; Renewable energy; Energy transition; Sustainability policy,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/sustainable-energy-policy,,,Publishes energy policy and renewable energy research
Frontiers in Sustainable Food Systems,Front. Sustain. Food Syst.,Environment & Sustainability,Food sustainability and security,Food security; Sustainable agriculture; Food systems; Nutrition security; Agricultural sustainability,3.1,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/sustainable-food-systems,,2590-0064,Covers food sustainability and secure food systems
Frontiers in Sustainable Resource Management,Front. Sustain. Resour. Manag.,Environment & Sustainability,Natural resource management,Resource management; Natural resources; Conservation; Forestry; Fisheries management,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/sustainable-resource-management,,,Publishes sustainable management of natural resources
Frontiers in Sustainable Tourism,Front. Sustain. Tour.,Environment & Sustainability,Sustainable tourism development,Tourism; Sustainable tourism; Travel; Hospitality; Tourism development; Destination management,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/sustainable-tourism,,,Covers sustainable tourism research and development
Frontiers in Synaptic Neuroscience,Front. Synaptic Neurosci.,Life Sciences,Synaptic biology and plasticity,Synaptic neuroscience; Synaptic plasticity; Neurotransmission; Synapse structure; Long-term potentiation,4.1,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/synaptic-neuroscience,,2674-0494,Covers synaptic biology and plasticity mechanisms
